市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,住所,緯度,経度,男性トイレ_総数,男性トイレ_（小便器）,男性トイレ_（和式）,男性トイレ_（洋式）,女性トイレ_総数,女性トイレ_（和式）,女性トイレ_（洋式）,男女共用トイレ_総数,男女共用トイレ_（和式）,男女共用トイレ_（洋式）,多機能トイレ_数
132284,1,東京都,あきる野市,東秋留駅前,ヒガシアキルエキマエ,あきる野市野辺447-11,35.726134,139.310591,3,2,1,0,2,2,0,0,0,0,1
132284,2,東京都,あきる野市,武蔵引田駅前,ムサシヒキダエキマエ,あきる野市引田246-2,35.729968,139.270037,3,2,1,0,2,2,0,0,0,0,1
132284,3,東京都,あきる野市,大悲願寺前,ダイヒガンジマエ,あきる野市横沢48-1,35.73197,139.241612,3,2,0,1,2,1,1,0,0,0,0
132284,4,東京都,あきる野市,武蔵五日市駅前,ムサシイツカイチエキマエ,あきる野市舘谷台26,35.732504,139.229064,5,3,1,1,4,2,2,0,0,0,1
132284,5,東京都,あきる野市,小和田橋下流,コワダバシカリュウ,あきる野市小和田145,35.723972,139.222095,1,1,0,0,0,0,0,1,0,1,0
132284,6,東京都,あきる野市,落合橋橋詰,オチアイバシハシヅメ,あきる野市乙津222-5,35.729446,139.189129,3,2,0,1,2,1,1,0,0,0,0
132284,7,東京都,あきる野市,網代会館,アジロカイカン,あきる野市網代202,35.723042,139.250976,3,2,0,1,2,1,1,0,0,0,0
132284,8,東京都,あきる野市,佳月橋,カゲツキョウ,あきる野市小和田300-ｲ,35.725807,139.217253,1,1,0,0,0,0,0,0,0,0,1
132284,9,東京都,あきる野市,深沢・南澤宅,フカサワ・ミナミザワタク,あきる野市深沢368,35.742178,139.209244,2,2,0,0,0,0,0,2,1,1,0
132284,10,東京都,あきる野市,山田天神前,ヤマダテンジンマエ,あきる野市山田822,35.725866,139.262723,4,3,0,1,4,1,3,0,0,0,1
132284,11,東京都,あきる野市,秋川橋河川公園,アキガワバシカセンコウエン,あきる野市留原814,35.728914,139.227576,9,6,0,3,10,5,5,0,0,0,1
132284,12,東京都,あきる野市,リバーサイドパーク一の谷,リバーサイドパークイチノタニ,あきる野市引田776,35.718408,139.267133,3,2,0,1,2,1,1,0,0,0,0
132284,13,東京都,あきる野市,子生神社,コヤスジンジャ,あきる野市小中野187,35.725749,139.209283,1,1,0,0,0,0,0,1,0,1,0
132284,14,東京都,あきる野市,深沢・真光院前,フカサワ・シンコウインマエ,あきる野市深沢23-3,35.748625,139.207047,2,1,0,1,2,1,1,0,0,0,0
132284,15,東京都,あきる野市,岩走神社横,イワバシリジンジャヨコ,あきる野市伊奈1574-1,35.730256,139.243291,2,1,0,1,2,1,1,0,0,0,0
132284,16,東京都,あきる野市,中村,ナカムラ,あきる野市留原872-3,35.729927,139.228136,3,2,0,1,3,2,1,0,0,0,0
132284,17,東京都,あきる野市,小庄水辺公園,コショウミズベコウエン,あきる野市五日市1259,35.725127,139.22729,2,1,0,1,2,1,1,0,0,0,0
132284,18,東京都,あきる野市,広徳寺,コウトクジ,あきる野市小和田241-2,35.7222,139.217779,3,2,0,1,2,1,1,0,0,0,0
132284,19,東京都,あきる野市,光厳寺,コウゴンジ,あきる野市戸倉331-4,35.725961,139.202689,3,2,0,1,2,1,1,0,0,0,0
132284,20,東京都,あきる野市,星竹,ホシタケ,あきる野市戸倉1093-1,35.731886,139.199952,2,1,0,1,2,1,1,0,0,0,0
132284,21,東京都,あきる野市,木和田平,キワダダイラ,あきる野市養沢1223,35.752204,139.181484,2,1,0,1,2,1,1,0,0,0,0
132284,22,東京都,あきる野市,荷田子,ニタゴ,あきる野市乙津708-2,35.724504,139.180318,3,2,0,1,2,1,1,0,0,0,0
132284,23,東京都,あきる野市,十里木駐車場,ジュウリギチュウシャジョウ,あきる野市戸倉1378-1,35.72808,139.190144,3,2,0,1,2,1,1,0,0,0,1
132284,24,東京都,あきる野市,武蔵増戸駅前,ムサシマスコエキマエ,あきる野市伊奈871-2,35.730847,139.256085,4,3,0,1,2,1,1,0,0,0,1
132284,25,東京都,あきる野市,正光寺下,ショウコウジシタ,あきる野市舘谷12-1,35.729032,139.236061,0,0,0,0,0,0,0,2,1,1,0
132284,26,東京都,あきる野市,盆堀大日影,ボンボリオオヒカゲ,あきる野市戸倉2088,35.721706,139.203489,0,0,0,0,0,0,0,1,0,1,0
132284,27,東京都,あきる野市,馬頭刈山登山口,マズカリヤマトザングチ,あきる野市乙津2124-2,35.736085,139.182644,0,0,0,0,0,0,0,1,0,1,0
132284,28,東京都,あきる野市,追分下,オイワケシタ,あきる野市乙津605-1,35.726979,139.183049,0,0,0,0,0,0,0,2,1,1,0
132284,29,東京都,あきる野市,青木平,アオキダイラ,あきる野市乙津973-2,35.72505,139.17055,1,1,0,0,0,0,0,1,0,1,0
132284,30,東京都,あきる野市,下養沢会館前,シモヨウザワカイカンマエ,あきる野市乙津2310-2,35.743545,139.189199,0,0,0,0,0,0,0,1,0,1,0
132284,31,東京都,あきる野市,怒田畑,ヌタバタ,あきる野市養沢148-1,35.746076,139.188077,0,0,0,0,0,0,0,1,0,1,0
132284,32,東京都,あきる野市,養沢神社前,ヨウザワジンジャマエ,あきる野市養沢1016,35.758839,139.170226,1,1,0,0,0,0,0,1,0,1,0
132284,33,東京都,あきる野市,上養沢バス停,カミヨウザワバステイ,あきる野市養沢993,35.760268,139.171582,0,0,0,0,0,0,0,1,0,1,0
132284,34,東京都,あきる野市,宝沢入口,ホウサワイリグチ,あきる野市養沢1285,35.748689,139.183623,0,0,0,0,0,0,0,1,0,1,0
132284,35,東京都,あきる野市,秋川ふれあいランド,アキガワフレアイランド,あきる野市小川1343-102,35.717018,139.317062,4,3,0,1,3,1,2,0,0,0,1
132284,36,東京都,あきる野市,盆堀ひかり小屋,ボンボリヒカリゴヤ,あきる野市戸倉1514,35.721613,139.196464,2,2,0,0,0,0,0,2,1,1,0
132284,37,東京都,あきる野市,小宮ふるさと自然体験学校横,コミヤフルサトシゼンタイケンガッコウヨコ,あきる野市乙津1984-ｲ,35.733919,139.183008,0,0,0,0,0,0,0,1,0,1,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
