施設名,施設名(英語),男性トイレ数,女性トイレ数,男女共用トイレ数,バリアフリートイレ数,ベビーベッド(有、無),オストメイト(有、無),利用可能時間OPENS,利用可能時間CLOSES,説明(日本語),説明(英語),緯度,経度,画像URL,画像URL,画像URL,画像URL
大井町駅前公衆便所,"",5,3,"","","","","","",公衆便所,"",35.605663,139.734739,"","","",""
大崎橋公衆便所,"",4,2,"","","","","","",公衆便所,"",35.624819,139.723825,"","","",""
東大井公衆便所,"",3,2,"","","","","","",公衆便所,"",35.603819,139.740366,"","","",""
居木橋公衆便所,"",3,2,"","","","","","",公衆便所,"",35.618108,139.733175,"","","",""
武蔵小山駅前公衆便所,"",3,2,1,"","","","","",公衆便所（他　子供用-小1）,"",35.619863,139.703321,"","","",""
新浜川橋北公衆便所,"",9,2,"","","","","","",公衆便所,"",35.596642,139.740583,"","","",""
荏原町駅前公衆便所,"",2,"",1,"","","","","",公衆便所,"",35.603784,139.708096,"","","",""
大井水神南公衆便所,"",3,1,"","","","","","",公衆便所,"",35.589756,139.729248,"","","",""
大井水神北公衆便所,"",3,1,"","","","","","",公衆便所,"",35.59555,139.732645,"","","",""
弁天橋公衆便所,"",5,1,"","","","","","",公衆便所,"",35.597647,139.738992,"","","",""
南大井公衆便所,"",4,2,"","","","","","",公衆便所,"",35.594728,139.736628,"","","",""
水神公衆便所,"",3,2,"","","","","","",公衆便所,"",35.591828,139.730223,"","","",""
新品川橋公衆便所,"",4,2,"","","","","","",公衆便所,"",35.616795,139.745299,"","","",""
西小山駅前公衆便所,"",3,2,1,"","","","","",公衆便所,"",35.615138,139.698561,"","","",""
荏原橋公衆便所,"",3,1,"","","","","","",公衆便所,"",35.603737,139.707099,"","","",""
平塚中央公衆便所,"","","",2,"","","","","",公衆便所,"",35.618608,139.717354,"","","",""
北品川２丁目公衆便所,"","","",3,"","","","","",公衆便所,"",35.617112,139.743827,"","","",""
三十五橋公衆便所,"",3,"",1,"","","","","",公衆便所,"",35.602024,139.709024,"","","",""
権現山公衆便所,"",1,1,"","","","","","",公衆便所,"",35.618575,139.737766,"","","",""
新馬場北公衆便所,"",3,2,"",1,"","","","",公衆便所,"",35.617634,139.741366,"","","",""
新馬場南公衆便所,"",1,1,"","","","","","",公衆便所,"",35.615173,139.742477,"","","",""
鹿嶋公衆便所,"",3,2,"","","","","","",公衆便所,"",35.59535,139.730095,"","","",""
西大井公衆便所,"",7,3,"",1,"","","","",公衆便所,"",35.601793,139.721815,"","","",""
大井町緑地公衆便所,"",3,2,"","","","","","",公衆便所,"",35.606854,139.733072,"","","",""
南品川六丁目公衆便所,"","","",1,"","","","","",公衆便所,"",35.610462,139.73734,"","","",""
かもめ橋公衆便所,"",2,1,"","","","","","",公衆便所,"",35.600153,139.751255,"","","",""
旗の台一丁目公衆便所,"","","",1,"","","","","",公衆便所,"",35.610362,139.702134,"","","",""
荏原中延公衆便所,"",6,2,"",1,"","","","",公衆便所,"",35.61,139.711985,"","","",""
青物横丁公衆便所,"",1,"",1,"","","","","",公衆便所,"",35.610018,139.742621,"","","",""
仙台坂上公衆便所,"",4,2,"","","","","","",公衆便所,"",35.60701,139.73973,"","","",""
西大井六丁目公衆便所,"","","",1,"","","","","",公衆便所,"",35.601089,139.718661,"","","",""
西大井三丁目公衆便所,"","","",1,"","","","","",公衆便所,"",35.597035,139.723889,"","","",""
大井二丁目公衆便所,"","","",1,"","","","","",公衆便所,"",35.60425,139.727388,"","","",""
大井町駅東口公衆便所,"",3,2,1,"","","","","",公衆便所,"",35.605941,139.735136,"","","",""
不動前公衆便所,"",2,"",1,"","","","","",公衆便所,"",35.625918,139.714045,"","","",""
八ツ山の東司公衆便所,"",1,"",1,"","","","","",公衆便所,"",35.623805,139.73916,"","","",""
戸越公園（１）便所,"",3,1,"","","","","","",公園便所,"",35.611167,139.722392,"","","",""
東品川公園便所,"",3,1,"",1,"","","","",公園便所,"",35.61412,139.746038,"","","",""
荏原南公園便所,"",3,2,"","","","","","",公園便所,"",35.611467,139.702905,"","","",""
鮫洲運動公園（１）便所,"",3,1,"","","","","","",公園便所,"",35.605883,139.744994,"","","",""
小山台公園便所,"",3,2,1,"","","","","",公園便所,"",35.625557,139.698802,"","","",""
三ツ木公園便所,"",2,1,"","","","","","",公園便所,"",35.614006,139.726217,"","","",""
東大井公園便所,"",3,1,"","","","","","",公園便所,"",35.604145,139.738783,"","","",""
東八ツ山公園便所,"",3,2,"","","","","","",公園便所,"",35.62468,139.743321,"","","",""
戸越公園（２）便所,"","","",5,1,"","","","",公園便所,"",35.611167,139.722392,"","","",""
荏原中央公園便所,"",3,"",1,"","","","","",公園便所,"",35.61596,139.704166,"","","",""
大井海岸公園便所,"",3,1,"","","","","","",公園便所,"",35.588273,139.733698,"","","",""
天王洲公園（１）便所,"",3,2,"","","","","","",公園便所,"",35.619442,139.750193,"","","",""
天王洲公園（２）便所,"",6,2,"",1,"","","","",公園便所,"",35.619442,139.750193,"","","",""
子供の森公園便所,"",4,2,"","","","","","",公園便所,"",35.616362,139.738252,"","","",""
聖蹟公園便所,"",1,1,"","","","","","",公園便所,"",35.618809,139.743943,"","","",""
大井坂下公園便所,"",3,2,"","","","","","",公園便所,"",35.589429,139.730671,"","","",""
そよかぜ公園便所,"",2,1,"","","","","","",公園便所,"",35.612012,139.726764,"","","",""
西五反田公園便所,"",3,1,"","","","","","",公園便所,"",35.624324,139.715523,"","","",""
新浜川公園便所,"",2,1,"","","","","","",公園便所,"",35.598011,139.740961,"","","",""
大井公園（１）便所,"",2,1,"","","","","","",公園便所,"",35.60536,139.740655,"","","",""
わかくさ公園便所,"","","",3,"","","","","",公園便所,"",35.598042,139.744147,"","","",""
しながわ区民公園（１）便所,"",3,1,"","","","","","",公園便所,"",35.593495,139.737837,"","","",""
大崎公園便所,"",1,1,"","","","","","",公園便所,"",35.622921,139.72416,"","","",""
希望ヶ丘公園便所,"","","",1,"","","","","",公園便所,"",35.631598,139.718203,"","","",""
大井中央公園便所,"",2,1,"","","","","","",公園便所,"",35.604361,139.732117,"","","",""
旗の台南公園便所,"",1,1,"","","","","","",公園便所,"",35.603629,139.702219,"","","",""
戸越台公園便所,"","","",2,"","","","","",公園便所,"",35.616153,139.71757,"","","",""
二日市公園便所,"",3,1,"","","","","","",公園便所,"",35.611429,139.739069,"","","",""
浜川公園便所,"",3,2,"",1,"","","","",公園便所,"",35.596983,139.735423,"","","",""
小山台東公園便所,"","","",3,"","","","","",公園便所,"",35.622229,139.706338,"","","",""
西大井広場公園（１）便所,"",3,1,"","","","","","",公園便所,"",35.601827,139.722981,"","","",""
西霧ヶ谷公園便所,"",3,1,"","","","","","",公園便所,"",35.623066,139.711773,"","","",""
北浜公園便所,"",2,1,"","","","","","",公園便所,"",35.617417,139.744921,"","","",""
鈴ヶ森公園便所,"",2,"","",1,"","","","",公園便所,"",35.593339,139.734962,"","","",""
鮫洲運動公園（２）便所,"",2,"","",1,"","","","",公園便所（他　子供用-小1）,"",35.605883,139.744994,"","","",""
京陽公園便所,"","","",1,"","","","","",公園便所,"",35.616802,139.713248,"","","",""
西品川公園便所,"",2,1,"",1,"","","","",公園便所,"",35.612826,139.730885,"","","",""
敬老公園便所,"",1,1,"","","","","","",公園便所,"",35.612737,139.750371,"","","",""
天王洲公園（３）便所,"","","",3,"","","","","",公園便所,"",35.620878,139.749773,"","","",""
二葉公園便所,"",2,"","",1,"","","","",公園便所,"",35.603746,139.71819,"","","",""
中延公園便所,"","","",1,"","","","","",公園便所,"",35.611731,139.707968,"","","",""
西大井緑地公園便所,"","","",1,"","","","","",公園便所,"",35.600234,139.720467,"","","",""
しながわ区民公園（２）便所,"",5,3,"",1,"","","","",公園便所,"",35.59084,139.738123,"","","",""
八潮公園便所,"",2,1,"",1,"","","","",公園便所,"",35.600345,139.753698,"","","",""
洲崎公園便所,"",2,"","",1,"","","","",公園便所,"",35.617964,139.746171,"","","",""
原っぱ公園便所,"",2,1,"","","","","","",公園便所,"",35.601366,139.714599,"","","",""
御成橋公園便所,"",2,1,"","","","","","",公園便所,"",35.622347,139.728977,"","","",""
大井公園（２）便所,"",2,1,"","","","","","",公園便所,"",35.605296,139.741291,"","","",""
池田山公園便所,"",3,2,"",1,"","","","",公園便所,"",35.63212,139.722258,"","","",""
しながわ区民公園（３）便所,"",5,3,"",1,"","","","",公園便所,"",35.592801,139.738653,"","","",""
しながわ区民公園（４）便所,"",4,3,"",1,"","","","",公園便所,"",35.592801,139.738653,"","","",""
旗の台北公園便所,"","","",1,"","","","","",公園便所,"",35.605725,139.704545,"","","",""
源氏前公園便所,"",1,1,"","","","","","",公園便所,"",35.602271,139.712182,"","","",""
豊町公園便所,"","","",1,"","","","","",公園便所,"",35.604746,139.716437,"","","",""
西大井広場公園（２）便所,"","","",1,"","","","","",公園便所,"",35.601827,139.722981,"","","",""
小関公園便所,"",2,1,"","","","","","",公園便所,"",35.619622,139.733416,"","","",""
台場浦公園便所,"","","",1,"","","","","",公園便所,"",35.621517,139.742965,"","","",""
しおじ公園便所,"",3,2,"","","","","","",公園便所,"",35.596254,139.750599,"","","",""
横丁公園便所,"","","",1,"","","","","",公園便所,"",35.610418,139.741788,"","","",""
しながわ区民公園（５）便所,"",3,2,"",1,"","","","",公園便所,"",35.59084,139.738123,"","","",""
しながわ区民公園（６）便所,"",3,2,"",1,"","","","",公園便所,"",35.59084,139.738123,"","","",""
浅間台公園便所,"","","",1,"","","","","",公園便所,"",35.608424,139.736891,"","","",""
五反田公園便所,"","","",1,"","","","","",公園便所,"",35.627635,139.72368,"","","",""
西八丁公園便所,"","","",1,"","","","","",公園便所,"",35.619725,139.719295,"","","",""
出石公園便所,"","","",1,"","","","","",公園便所,"",35.594583,139.722149,"","","",""
峰原公園便所,"","","",1,"","","","","",公園便所,"",35.617939,139.721175,"","","",""
品海公園便所,"","","",1,"","","","","",公園便所,"",35.620122,139.74257,"","","",""
かむろ坂公園便所,"",2,1,"","","","","","",公園便所,"",35.625215,139.711584,"","","",""
戸越公園（３）便所,"",1,"",1,"","","","","",公園便所,"",35.611167,139.722392,"","","",""
西の台公園便所,"","","",1,"","","","","",公園便所,"",35.613995,139.729128,"","","",""
南品川広場公園便所,"","","",1,"","","","","",公園便所,"",35.60901,139.739841,"","","",""
西品川おさんぽ公園便所,"","","",1,"","","","","",公園便所,"",35.616247,139.723856,"","","",""
関ヶ原公園便所,"","","",1,"","","","","",公園便所,"",35.602074,139.735572,"","","",""
平塚たけのこ公園便所,"","","",1,"","","","","",公園便所,"",35.612756,139.713482,"","","",""
東中はなみずき公園便所,"","","",1,"","","","","",公園便所,"",35.610823,139.71256,"","","",""
延山くすのき公園便所,"","","",1,"","","","","",公園便所,"",35.608192,139.708735,"","","",""
西中お日さま公園便所,"","","",1,"","","","","",公園便所,"",35.607065,139.706766,"","","",""
東品川一丁目公園便所,"","","",1,"","","","","",公園便所,"",35.622844,139.744112,"","","",""
鎗ヶ崎公園便所,"","","",1,"","","","","",公園便所,"",35.615536,139.724478,"","","",""
しいのき公園便所,"","","",1,"","","","","",公園便所,"",35.615011,139.703369,"","","",""
葦山公園便所,"","","",1,"","","","","",公園便所,"",35.613398,139.7223,"","","",""
大原公園便所,"","","",1,"","","","","",公園便所,"",35.60739,139.714393,"","","",""
南五公園便所,"","","",1,"","","","","",公園便所,"",35.612148,139.741108,"","","",""
西大井広場公園（３）便所,"",5,3,"",1,"","","","",公園便所,"",35.601827,139.722981,"","","",""
戸越南公園便所,"","","",1,"","","","","",公園便所,"",35.607195,139.718579,"","","",""
谷垂公園便所,"","","",1,"","","","","",公園便所,"",35.600016,139.718021,"","","",""
天王洲アイル第一公園便所,"",3,2,"",1,"","","","",公園便所,"",35.623053,139.751501,"","","",""
品川浦公園便所,"","","",1,"","","","","",公園便所,"",35.6211,139.742388,"","","",""
江戸見坂公園便所,"",1,"",1,"","","","","",公園便所,"",35.612753,139.699255,"","","",""
旗の台広場公園便所,"",1,1,"","","","","","",公園便所,"",35.606009,139.706011,"","","",""
あさひ公園便所,"",1,1,"","","","","","",公園便所,"",35.619291,139.708215,"","","",""
天王洲アイル第二公園便所,"",2,1,"","","","","","",公園便所,"",35.621611,139.749059,"","","",""
大森貝塚遺跡庭園便所,"",3,2,"",1,"","","","",公園便所,"",35.593264,139.729687,"","","",""
八潮北公園便所,"",4,2,"",1,"","","","",公園便所,"",35.612485,139.753759,"","","",""
しながわ中央公園（１）便所,"",7,5,"",1,"","","","",公園便所,"",35.609226,139.72892,"","","",""
しながわ中央公園（２）便所,"","","",1,"","","","","",公園便所,"",35.609795,139.729786,"","","",""
品川シーサイド公園便所,"",2,2,"",1,"","","","",公園便所,"",35.607582,139.749146,"","","",""
森前公園便所,"",2,2,"","","","","","",公園便所,"",35.600877,139.721809,"","","",""
谷山公園便所,"",3,2,"",1,"","","","",公園便所,"",35.627768,139.718575,"","","",""
東中延公園便所,"","","",1,"","","","","",公園便所,"",35.606956,139.712457,"","","",""
大井水神公園便所,"",1,"","",1,"","","","",公園便所,"",35.59555,139.732645,"","","",""
東品川海上公園便所,"",2,2,"",1,"","","","",公園便所,"",35.61729,139.749734,"","","",""
品川南ふ頭公園便所,"",3,2,"",1,"","","","",公園便所,"",35.622006,139.754864,"","","",""
文庫の森便所,"",3,2,"",1,"","","","",公園便所,"",35.612295,139.720526,"","","",""
鮫洲入江広場便所,"",2,"","",1,"","","","",公園便所,"",35.603119,139.744102,"","","",""
大崎西口公園便所,"",3,2,"",1,"","","","",公園便所,"",35.617456,139.728655,"","","",""
鹿島庚塚児童遊園便所,"",2,1,"","","","","","",児童遊園便所,"",35.594006,139.728912,"","","",""
旗岡児童遊園便所,"","","",1,"","","","","",児童遊園便所,"",35.604689,139.707851,"","","",""
神明児童遊園便所,"",2,1,"","","","","","",児童遊園便所,"",35.608023,139.726761,"","","",""
上神明児童遊園便所,"",1,1,"","","","","","",児童遊園便所,"",35.602251,139.714168,"","","",""
富士見ヶ丘児童遊園便所,"",2,1,"","","","","","",児童遊園便所,"",35.59951,139.716688,"","","",""
みなみ児童遊園便所,"",2,1,"","","","","","",児童遊園便所,"",35.596478,139.737517,"","","",""
戸越児童遊園便所,"","","",1,"","","","","",児童遊園便所,"",35.612006,139.715757,"","","",""
大井倉田児童遊園便所,"","","",1,"","","","","",児童遊園便所,"",35.600216,139.732117,"","","",""
森下児童遊園便所,"","","",1,"","","","","",児童遊園便所,"",35.606267,139.729194,"","","",""
荏原２丁目児童遊園便所,"","","",1,"","","","","",児童遊園便所,"",35.617586,139.709279,"","","",""
桜橋児童遊園便所,"","","",1,"","","","","",児童遊園便所,"",35.599969,139.735828,"","","",""
南品川二丁目児童遊園便所,"",1,"",1,"","","","","",児童遊園便所,"",35.614007,139.743966,"","","",""
大崎五丁目遊園便所,"",2,1,"","","","","","",児童遊園便所,"",35.622611,139.725961,"","","",""
わかば児童遊園便所,"",1,"",1,"","","","","",児童遊園便所,"",35.615489,139.721642,"","","",""
立会川児童遊園（その２）便所,"",1,1,"","","","","","",児童遊園便所,"",35.606037,139.704097,"","","",""
豊町５丁目児童遊園便所,"",1,1,"","","","","","",児童遊園便所,"",35.60459,139.72059,"","","",""
北品川三丁目児童遊園便所,"",1,1,"","","","","","",児童遊園便所,"",35.618448,139.739632,"","","",""
戸越２丁目広場便所,"",1,1,"","","","","","",児童遊園便所,"",35.614347,139.718367,"","","",""
ゆたか防災広場便所,"",2,"","",1,"","","","",児童遊園便所,"",35.60536,139.71789,"","","",""
ひらさん広場便所,"",3,2,"",1,"","","","",児童遊園便所,"",35.613972,139.712785,"","","",""
